count_point_id,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
20883,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A711,PA,Major,A755,B736,280110,552700,54.85468893,-3.86904251,22.4,13.92,Estimated,Estimated using previous year's AADF on this link,W,7,1,407,10,96,21,2,11,1,4,4,43,558
1028,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,B738,B7077,204800,555440,54.85557421,-5.04250656,7,4.35,Estimated,Estimated using previous year's AADF on this link,W,1,3,762,19,214,25,3,3,18,0,0,49,1046
1028,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,PA,Major,B738,B7077,204800,555440,54.85557421,-5.04250656,7,4.35,Estimated,Estimated using previous year's AADF on this link,E,0,5,807,17,175,23,5,3,24,0,0,56,1059
50999,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A714,PA,Major,A746,B7005,242000,554100,54.8566756,-4.46290812,1.9,1.18,Estimated,Estimated using previous year's AADF on this link,N,1,12,1231,33,315,69,14,3,1,2,7,96,1686
50999,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A714,PA,Major,A746,B7005,242000,554100,54.8566756,-4.46290812,1.9,1.18,Estimated,Estimated using previous year's AADF on this link,S,2,23,992,30,328,54,9,11,1,6,13,94,1468
80338,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A712,C-road Barholm,249400,554270,54.86048441,-4.34782732,16.2,10.07,Counted,Automatic counter,N,0,24,1457,43,528,88,38,30,19,116,171,462,2513
80338,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A712,C-road Barholm,249400,554270,54.86048441,-4.34782732,16.2,10.07,Counted,Automatic counter,S,0,15,1375,34,596,128,38,20,18,91,168,462,2482
1075,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A714,PA,Major,B7005,B7005,243100,554900,54.86420432,-4.44622435,4.4,2.73,Estimated,Estimated using previous year's AADF on this link,N,0,1,519,23,119,12,1,3,0,0,0,17,679
1075,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A714,PA,Major,B7005,B7005,243100,554900,54.86420432,-4.44622435,4.4,2.73,Estimated,Estimated using previous year's AADF on this link,S,0,3,603,20,145,15,0,2,1,1,0,19,790
30890,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7077,B7077,207800,556400,54.86535051,-4.99648114,0.7,0.43,Estimated,Estimated using previous year's AADF on this link,E,3,11,1275,25,330,74,15,15,2,3,6,115,1756
30890,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7077,B7077,207800,556400,54.86535051,-4.99648114,0.7,0.43,Estimated,Estimated using previous year's AADF on this link,W,2,7,1151,19,347,44,27,15,2,5,4,97,1621
80295,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A755,A762,265400,554370,54.86594442,-4.09879624,7.5,4.66,Estimated,Estimated using previous year's AADF on this link,E,0,36,1833,56,688,99,24,12,17,132,153,436,3049
